datetime,open,high,low,close,volume
2025-07-02 21:30:00,3341.09,3349.355,3341.035,3348.675,14285.0
2025-07-02 22:30:00,3348.75,3350.785,3347.44,3349.86,9525.0
2025-07-02 23:30:00,3349.85,3355.265,3348.66,3355.09,10537.0
2025-07-03 00:30:00,3355.095,3359.62,3354.635,3358.255,14553.0
2025-07-03 01:30:00,3358.29,3360.13,3355.625,3357.09,3166.0
2025-07-03 03:30:00,3359.515,3365.92,3358.925,3362.01,6370.0
2025-07-03 04:30:00,3362.035,3362.34,3348.905,3349.43,10761.0
2025-07-03 05:30:00,3349.515,3349.955,3343.52,3344.795,13251.0
2025-07-03 06:30:00,3344.805,3348.295,3342.015,3346.085,16540.0
2025-07-03 07:30:00,3346.145,3351.535,3345.805,3351.075,13040.0
2025-07-03 08:30:00,3351.125,3351.595,3345.5,3347.6,10681.0
2025-07-03 09:30:00,3347.565,3351.895,3347.505,3350.865,8728.0
2025-07-03 10:30:00,3350.87,3360.54,3350.185,3359.43,16349.0
2025-07-03 11:30:00,3359.425,3363.755,3356.535,3361.92,17772.0
2025-07-03 12:30:00,3361.91,3363.135,3352.575,3353.065,17021.0
2025-07-03 13:30:00,3353.15,3358.41,3351.775,3356.24,12363.0
2025-07-03 14:30:00,3356.125,3356.46,3343.94,3345.785,15880.0
2025-07-03 15:30:00,3345.8,3355.545,3344.84,3353.255,12741.0
2025-07-03 16:30:00,3353.28,3353.845,3343.135,3346.115,13097.0
2025-07-03 17:30:00,3346.015,3352.365,3311.625,3324.525,54602.0
2025-07-03 18:30:00,3324.49,3338.59,3322.165,3332.3,51820.0
2025-07-03 19:30:00,3332.12,3334.725,3323.58,3324.665,37211.0
2025-07-03 20:30:00,3324.655,3331.565,3323.06,3328.12,17465.0
2025-07-03 21:30:00,3328.165,3334.755,3325.82,3333.95,13463.0
2025-07-03 22:30:00,3333.945,3334.89,3328.895,3329.145,7326.0
2025-07-03 23:30:00,3329.085,3330.31,3327.94,3329.105,3542.0
2025-07-04 00:30:00,3329.065,3329.62,3327.04,3328.89,3713.0
2025-07-04 01:30:00,3328.895,3328.98,3325.255,3326.03,1147.0
2025-07-04 03:30:00,3324.24,3329.76,3323.66,3329.205,3108.0
2025-07-04 04:30:00,3329.225,3332.11,3328.54,3330.915,7324.0
2025-07-04 05:30:00,3330.995,3331.25,3325.93,3329.09,11814.0
2025-07-04 06:30:00,3329.08,3334.435,3326.55,3330.145,15926.0
2025-07-04 07:30:00,3330.135,3332.535,3327.175,3327.415,11030.0
2025-07-04 08:30:00,3327.335,3339.065,3326.235,3338.42,10142.0
2025-07-04 09:30:00,3338.37,3342.43,3338.105,3340.94,10276.0
2025-07-04 10:30:00,3340.955,3342.3,3338.49,3339.59,10084.0
2025-07-04 11:30:00,3339.58,3345.175,3339.295,3342.585,15633.0
2025-07-04 12:30:00,3342.68,3343.805,3336.45,3342.98,16731.0
2025-07-04 13:30:00,3342.96,3344.295,3340.92,3342.895,8514.0
2025-07-04 14:30:00,3342.855,3343.14,3332.96,3334.585,14417.0
2025-07-04 15:30:00,3334.595,3338.185,3331.52,3336.93,13729.0
2025-07-04 16:30:00,3336.935,3337.95,3334.45,3334.77,9841.0
2025-07-04 17:30:00,3334.75,3337.905,3331.455,3334.035,17052.0
2025-07-04 18:30:00,3334.03,3338.095,3332.335,3333.85,18657.0
2025-07-04 19:30:00,3333.855,3334.3,3330.95,3333.225,15013.0
2025-07-04 20:30:00,3333.23,3333.925,3330.87,3332.45,6435.0
2025-07-04 21:30:00,3332.475,3337.59,3332.35,3336.615,5333.0
2025-07-07 03:30:00,3341.57,3342.075,3332.485,3333.495,5372.0
2025-07-07 04:30:00,3333.54,3334.63,3326.25,3328.95,9456.0
2025-07-07 05:30:00,3328.945,3329.77,3321.845,3326.595,15213.0
2025-07-07 06:30:00,3326.585,3327.86,3306.785,3316.655,30799.0
2025-07-07 07:30:00,3316.67,3317.82,3305.965,3309.0,18895.0
2025-07-07 08:30:00,3308.945,3315.37,3307.2,3310.975,16140.0
2025-07-07 09:30:00,3310.965,3312.4,3305.245,3307.855,15490.0
2025-07-07 10:30:00,3307.94,3315.21,3307.095,3313.44,20251.0
2025-07-07 11:30:00,3313.43,3315.29,3308.45,3310.02,21075.0
2025-07-07 12:30:00,3309.995,3313.335,3300.765,3302.315,17549.0
2025-07-07 13:30:00,3302.305,3312.86,3301.335,3310.25,18086.0
2025-07-07 14:30:00,3310.16,3311.98,3306.18,3308.995,16912.0
2025-07-07 15:30:00,3309.01,3310.76,3296.28,3302.175,24124.0
2025-07-07 16:30:00,3302.175,3307.635,3299.815,3301.87,25054.0
2025-07-07 17:30:00,3301.92,3312.795,3300.495,3309.575,31983.0
2025-07-07 18:30:00,3309.565,3317.21,3306.225,3316.625,32613.0
2025-07-07 19:30:00,3316.6,3321.455,3313.29,3318.085,26810.0
2025-07-07 20:30:00,3318.07,3322.135,3316.195,3320.975,13189.0
2025-07-07 21:30:00,3320.97,3328.16,3320.23,3327.49,25648.0
2025-07-07 22:30:00,3327.545,3335.92,3327.45,3332.08,23666.0
2025-07-07 23:30:00,3332.085,3335.845,3328.62,3334.495,23484.0
2025-07-08 00:30:00,3334.465,3340.47,3334.43,3337.235,19154.0
2025-07-08 01:30:00,3337.22,3338.015,3335.53,3336.44,4780.0
2025-07-08 03:30:00,3340.5,3345.955,3339.01,3339.81,5094.0
2025-07-08 04:30:00,3339.86,3340.165,3333.88,3334.715,8573.0
2025-07-08 05:30:00,3334.725,3337.365,3331.3,3334.285,25172.0
2025-07-08 06:30:00,3334.33,3337.095,3329.74,3334.9,25603.0
2025-07-08 07:30:00,3334.9,3338.15,3332.875,3334.545,16066.0
2025-07-08 08:30:00,3334.465,3335.565,3329.7,3331.61,9888.0
2025-07-08 09:30:00,3331.605,3332.845,3327.405,3329.66,10814.0
2025-07-08 10:30:00,3329.68,3336.625,3329.53,3334.15,15791.0
2025-07-08 11:30:00,3334.17,3336.125,3330.785,3335.835,16641.0
2025-07-08 12:30:00,3335.855,3339.59,3330.595,3333.93,17578.0
2025-07-08 13:30:00,3333.925,3333.925,3323.405,3323.73,22008.0
2025-07-08 14:30:00,3323.735,3326.845,3321.185,3322.095,16967.0
2025-07-08 15:30:00,3322.09,3327.125,3320.58,3324.67,13031.0
2025-07-08 16:30:00,3324.735,3327.565,3320.035,3325.06,13686.0
2025-07-08 17:30:00,3325.065,3329.935,3324.745,3328.245,16576.0
2025-07-08 18:30:00,3328.24,3328.78,3314.86,3315.31,37017.0
