open,high,low,close,volume
3870.945,3875.135,3869.58,3873.95,9019.0
3873.965,3877.9,3870.245,3877.26,8257.0
3877.27,3884.545,3876.1,3881.07,9931.0
3881.065,3887.605,3872.86,3887.005,15452.0
3886.835,3890.805,3880.515,3882.885,15645.0
3882.705,3886.3,3866.425,3867.365,21869.0
3867.345,3880.105,3866.99,3879.11,16784.0
3879.105,3880.265,3872.43,3874.96,15952.0
3874.935,3881.31,3874.155,3879.835,15721.0
3879.86,3882.165,3873.85,3880.325,12770.0
3880.335,3889.17,3878.27,3887.795,13393.0
3887.805,3889.065,3884.145,3886.855,13499.0
3886.87,3891.76,3885.435,3889.565,9339.0
3889.57,3889.845,3884.225,3886.42,10678.0
3886.425,3886.6,3880.62,3882.74,9319.0
3882.75,3884.245,3880.89,3882.26,8397.0
3882.165,3884.735,3880.66,3883.74,10034.0
3883.795,3884.845,3880.71,3883.75,9991.0
3883.815,3886.085,3883.44,3883.805,10139.0
3883.925,3885.87,3881.47,3884.805,9011.0
3884.76,3885.36,3876.985,3881.905,9504.0
3881.95,3885.115,3880.185,3882.52,7606.0
3882.515,3885.235,3881.495,3884.415,6037.0
3884.42,3889.265,3884.28,3888.365,6796.0
3888.38,3889.04,3884.545,3886.125,7384.0
3886.12,3888.25,3883.495,3887.65,6643.0
3887.625,3888.705,3885.775,3886.72,5177.0
3886.705,3888.89,3885.895,3886.63,6428.0
3886.625,3889.295,3884.54,3885.825,7299.0
3885.79,3887.315,3884.67,3885.095,1322.0
3884.91,3885.145,3883.615,3884.35,1573.0
3884.33,3885.215,3882.94,3885.065,1986.0
3885.05,3887.055,3884.475,3886.455,1546.0
3891.335,3891.335,3884.115,3890.515,3069.0
3890.525,3894.105,3888.445,3893.845,3612.0
3893.755,3894.665,3890.26,3893.975,2938.0
3893.78,3904.44,3892.94,3899.42,1758.0
3899.405,3920.975,3897.95,3909.69,15073.0
3909.56,3912.43,3907.285,3910.495,6392.0
3910.45,3911.645,3907.915,3910.885,3782.0
3910.9,3911.55,3907.89,3909.73,5193.0
3909.76,3910.215,3900.3,3904.48,8815.0
3904.35,3906.34,3899.03,3902.52,7143.0
3902.545,3906.08,3900.775,3904.84,5287.0
3904.835,3906.64,3900.025,3900.39,5224.0
3900.445,3908.535,3899.8,3906.2,4033.0
3906.255,3907.72,3901.385,3903.22,4412.0
3903.195,3911.195,3902.565,3910.32,5716.0
3910.355,3918.47,3909.19,3918.18,4974.0
3918.2,3924.905,3917.715,3923.88,5995.0
3923.875,3923.95,3920.31,3921.96,3464.0
3921.965,3923.435,3918.885,3923.08,4036.0
3923.23,3923.365,3919.61,3921.05,4472.0
3921.02,3926.535,3920.05,3921.855,4236.0
3921.845,3924.945,3920.385,3922.0,3755.0
3921.95,3929.35,3921.645,3928.55,3453.0
3928.555,3932.15,3928.16,3929.63,5017.0
3929.68,3933.53,3928.98,3929.585,4311.0
3929.505,3934.57,3928.875,3933.88,3291.0
3933.875,3940.12,3932.52,3940.05,4542.0
3940.035,3940.55,3935.04,3938.89,4424.0
3938.83,3945.33,3935.875,3939.99,6300.0
3940.0,3940.575,3933.095,3937.0,6158.0
3937.01,3937.14,3927.44,3930.465,5757.0
3930.425,3933.345,3928.495,3932.565,3972.0
3932.575,3932.815,3922.5,3925.875,7520.0
3925.87,3930.1,3924.48,3928.49,6901.0
3928.345,3928.525,3925.115,3927.205,5906.0
3927.2,3934.98,3927.2,3934.44,8117.0
3934.455,3936.44,3932.765,3934.915,5810.0
3934.785,3936.47,3929.305,3932.545,5890.0
3932.565,3936.58,3931.275,3933.06,9361.0
3933.175,3944.065,3932.29,3941.79,9339.0
3941.8,3949.67,3941.8,3947.27,8533.0
3947.265,3949.23,3940.12,3943.58,6938.0
3943.565,3943.875,3935.39,3938.475,5573.0
3938.42,3947.365,3937.74,3942.61,5561.0
3942.65,3945.065,3941.6,3942.83,4755.0
3942.85,3944.2,3939.02,3943.795,5522.0
3943.82,3944.465,3937.855,3938.72,4066.0
3938.715,3942.62,3936.67,3942.495,4654.0
3942.525,3942.9,3932.52,3938.685,6775.0
3938.635,3941.755,3937.22,3940.0,5177.0
3940.1,3946.695,3939.34,3946.59,4454.0
3946.625,3946.76,3941.86,3942.235,5781.0
3942.225,3942.81,3934.81,3936.89,8662.0
3936.875,3938.62,3933.615,3938.57,9014.0
3938.575,3940.32,3934.49,3936.235,7158.0
3936.225,3939.67,3931.03,3938.265,7776.0
3938.22,3941.43,3933.6,3940.03,11025.0
3940.035,3941.36,3928.83,3931.52,14872.0
3931.58,3932.54,3926.465,3931.665,11939.0
3931.545,3938.785,3931.105,3934.385,10196.0
3934.375,3937.03,3930.79,3934.4,8279.0
3934.35,3937.295,3931.97,3933.29,9627.0
3933.355,3945.195,3927.21,3944.935,17622.0
3944.96,3947.26,3940.645,3944.74,17950.0
3944.75,3950.305,3940.39,3948.605,17608.0
3948.59,3950.215,3944.685,3948.1,12327.0
3948.045,3958.785,3946.92,3957.885,12247.0
3957.89,3958.895,3953.73,3955.18,9707.0
3955.07,3958.205,3949.795,3954.985,11303.0
3955.075,3957.81,3948.465,3950.005,10032.0
3950.04,3958.26,3948.195,3957.165,7471.0
3957.115,3964.17,3954.8,3962.66,10887.0
3962.655,3970.2,3947.135,3947.995,13288.0
3947.935,3954.85,3945.88,3952.545,14185.0
3952.59,3955.485,3950.95,3952.295,5676.0
3952.33,3955.255,3950.965,3954.175,6253.0
3954.27,3959.05,3954.26,3957.015,9291.0
3957.005,3958.01,3951.76,3951.945,9105.0
3951.96,3956.44,3951.145,3955.35,5503.0
3955.375,3958.375,3953.255,3958.03,5147.0
3958.115,3959.87,3955.895,3957.525,7256.0
3957.645,3959.11,3957.375,3958.025,3365.0
3958.01,3958.115,3956.03,3957.55,5564.0
3957.6,3960.665,3957.095,3958.585,7982.0
3958.55,3965.155,3958.375,3962.38,6548.0
3962.39,3964.235,3960.89,3964.01,3376.0
3964.025,3964.66,3961.43,3962.395,3346.0
3962.405,3964.215,3958.36,3959.585,6334.0
3959.515,3961.44,3958.615,3960.11,1546.0
3960.16,3961.38,3958.975,3959.67,1630.0
3959.66,3959.795,3957.34,3958.72,1762.0
3958.725,3962.4,3958.19,3960.69,1285.0
3960.62,3972.705,3960.51,3971.21,3667.0
3971.23,3976.155,3969.605,3973.31,6180.0
3973.28,3973.28,3959.12,3963.615,6604.0
3963.725,3969.68,3958.86,3963.625,3546.0
3963.545,3965.825,3961.88,3964.31,2320.0
3964.29,3970.11,3964.29,3969.58,2166.0
3969.625,3972.65,3968.53,3972.045,3822.0
3972.075,3972.79,3967.925,3969.61,4107.0
3969.625,3972.41,3966.55,3971.05,6810.0
3971.055,3977.335,3969.69,3974.185,5785.0
3974.17,3977.4,3965.24,3965.955,4537.0
3965.965,3967.15,3961.435,3962.81,9067.0
3962.805,3963.46,3955.9,3961.865,9024.0
3961.83,3963.845,3958.965,3959.59,6845.0
3959.58,3961.33,3955.87,3959.94,6220.0
3959.945,3959.945,3957.55,3958.115,4888.0
3958.085,3961.92,3957.385,3961.345,3981.0
3961.32,3965.51,3960.835,3964.855,3146.0
3964.85,3967.095,3964.025,3966.445,2434.0
3966.49,3967.105,3964.55,3964.905,2900.0
3964.83,3967.895,3962.91,3967.895,3583.0
3967.925,3970.035,3960.955,3963.745,4662.0
3963.765,3973.015,3962.995,3972.74,3927.0
3972.73,3974.755,3971.58,3973.55,3593.0
3973.525,3975.78,3971.515,3973.87,2994.0
3973.865,3975.495,3972.715,3973.755,1948.0
3973.75,3976.065,3973.32,3973.57,2642.0
3973.63,3977.045,3973.615,3976.05,2625.0
3975.89,3977.015,3960.115,3965.63,5217.0
3965.64,3967.255,3960.53,3963.54,4785.0
3963.59,3966.66,3960.915,3961.405,4220.0
3961.54,3965.63,3960.535,3964.725,4808.0
3964.76,3964.995,3959.815,3964.575,5004.0
3964.435,3966.455,3961.07,3964.11,4961.0
3964.085,3964.47,3955.74,3958.535,4812.0
3958.615,3960.97,3953.795,3955.045,4825.0
3955.075,3956.355,3949.805,3950.36,8886.0
3950.3,3952.22,3943.875,3951.31,13549.0
3951.325,3956.29,3948.335,3949.895,8685.0
3949.815,3951.655,3943.315,3945.86,7603.0
