open,high,low,close,volume
2491.775,2500.31,2477.53,2495.95,77949.0
2495.94,2509.82,2493.19,2508.14,27852.0
2506.525,2506.915,2500.385,2502.065,11925.0
2502.195,2506.16,2495.045,2500.74,44123.0
2500.78,2507.225,2499.185,2503.205,42209.0
2503.21,2504.025,2486.6,2491.265,40640.0
2491.28,2507.535,2485.735,2505.51,62795.0
2505.505,2505.925,2500.79,2504.285,18572.0
2503.74,2506.925,2502.16,2505.05,8264.0
2505.005,2508.275,2498.775,2500.87,33263.0
2500.905,2523.185,2497.4,2519.88,46700.0
2519.91,2529.275,2519.875,2526.78,46740.0
2526.765,2531.765,2500.865,2509.2,72645.0
2509.19,2516.97,2506.86,2514.11,21666.0
2513.86,2516.135,2512.53,2513.635,10673.0
2513.69,2519.985,2510.93,2516.23,34659.0
2516.195,2519.645,2506.995,2507.325,36781.0
2507.235,2513.77,2504.515,2510.63,34758.0
2510.62,2512.975,2493.83,2507.175,71335.0
2507.12,2519.185,2507.025,2512.25,24882.0
2512.22,2514.73,2511.24,2513.81,8735.0
2513.76,2514.165,2499.35,2501.985,36375.0
2501.94,2510.645,2500.755,2503.72,40569.0
2503.705,2509.18,2495.29,2500.785,43452.0
2500.82,2501.625,2470.85,2484.325,72122.0
2484.305,2484.96,2478.62,2484.72,21226.0
2485.335,2492.325,2484.41,2490.045,8753.0
2490.105,2494.585,2486.77,2493.48,32581.0
2493.475,2500.0,2490.67,2499.045,38990.0
2499.06,2502.495,2495.72,2501.36,36814.0
2501.35,2518.4,2494.515,2510.385,89386.0
2510.375,2513.25,2507.995,2512.49,23574.0
2512.035,2516.995,2511.105,2513.745,12453.0
2513.755,2515.575,2508.985,2509.65,32897.0
2509.645,2525.825,2508.81,2524.295,36544.0
2524.3,2526.9,2520.985,2523.915,38891.0
2523.92,2526.485,2510.68,2520.305,59514.0
2520.295,2523.45,2515.655,2517.955,17838.0
2517.73,2517.905,2513.035,2513.215,6633.0
2513.27,2514.18,2505.845,2507.355,29720.0
2507.295,2517.615,2503.585,2511.14,43211.0
2511.105,2514.41,2506.965,2509.93,40104.0
2509.9,2520.505,2503.605,2514.455,59394.0
2514.47,2526.01,2514.175,2524.825,22317.0
2525.26,2529.135,2523.935,2524.5,9090.0
2524.495,2524.505,2510.34,2511.585,29714.0
2511.59,2511.765,2503.325,2508.24,43694.0
2508.185,2511.43,2493.665,2500.665,42177.0
2500.675,2510.69,2496.465,2501.99,58572.0
2501.97,2509.65,2500.65,2504.67,22305.0
2506.21,2515.39,2504.925,2512.42,11625.0
2512.34,2518.27,2511.7,2515.945,30082.0
2515.845,2521.24,2513.85,2517.175,41633.0
2517.205,2524.505,2503.69,2509.27,49204.0
2509.335,2526.755,2508.285,2525.315,65194.0
2525.325,2528.74,2520.735,2521.215,22077.0
2520.805,2521.845,2516.72,2517.87,6489.0
2517.885,2520.19,2512.255,2513.445,29301.0
2513.455,2526.785,2512.595,2522.975,41327.0
2522.97,2526.925,2515.08,2519.765,42966.0
2519.75,2519.97,2496.67,2497.805,79077.0
2497.69,2504.81,2494.215,2503.4,23937.0
2502.84,2505.01,2501.23,2501.56,7224.0
2501.565,2504.73,2490.105,2496.98,32449.0
2496.99,2507.33,2495.36,2506.365,32904.0
2506.28,2506.63,2497.18,2501.335,25852.0
2501.39,2502.555,2497.79,2500.59,27131.0
2500.585,2501.365,2498.74,2499.42,2356.0
2499.55,2499.73,2495.045,2495.895,7623.0
2495.865,2497.025,2489.705,2496.01,36169.0
2496.0,2506.35,2492.83,2503.97,45571.0
2504.04,2505.065,2484.805,2493.335,56935.0
2493.35,2497.75,2473.325,2486.09,74022.0
2486.04,2494.43,2485.575,2492.95,20805.0
2492.62,2495.05,2492.1,2492.395,11412.0
2492.36,2496.985,2491.44,2495.995,25284.0
2495.99,2496.68,2472.61,2473.35,44134.0
2473.43,2491.285,2471.915,2486.6,46768.0
2486.625,2500.345,2482.125,2496.86,66109.0
2496.81,2497.39,2491.55,2495.545,15627.0
2495.32,2496.97,2494.545,2495.275,8481.0
2495.26,2499.43,2493.88,2494.365,26823.0
2494.28,2516.735,2494.055,2514.755,42262.0
2514.81,2523.525,2513.425,2517.82,46347.0
2517.985,2520.65,2503.965,2510.47,75197.0
2510.48,2516.925,2509.36,2516.815,18403.0
2516.46,2517.975,2515.68,2515.99,7731.0
